Id,Venue_Name,City,State,Country,Year,start,end,Title,Organizers,Degree
Sidney and Lois Eskenazi Museum of Art_2024,Sidney and Lois Eskenazi Museum of Art,Bloomington,Indiana,United States,2024,2024-11-22,2024-11-22,"Connections Between Art, Science, and Engineering: A Conversation with Dr. Katy Börner",Keaton Clulow,
Museo Banco de Mexico_2024,Museo Banco de Mexico,Valley of Mexico,,Mexico,2024,2024-11-28,2024-11-29,Exploración de mapas del territorio financerio,Ingo Gunther,
NISTEP_2024,NISTEP,,,Japan,2024,2024-12-20,2024-12-20,"""Places & Spaces: Mapping Science"" at NISTEP Public Online Symposium",Sakai Tomoko,
Mt. Sinai School of Medicine_2025,Mt. Sinai School of Medicine,New York City,New York,United States,2025,2025-03-14,2025-03-14,Places & Spaces: Mapping Science,Patty Lee,
NetSci_2025,NetSci,,,Netherlands,2025,2025-06-02,2025-06-06,Science Macroscopes: Interactive Data Visualizations for Exploring Multiscale Networks in a Global Society,Yuanxi Fu,
"Luddy School of Informatics, Computing, and Engineering_2025","Luddy School of Informatics, Computing, and Engineering",Bloomington,Indiana,United States,2025,2025-03-18,2025-03-22,iConference 2025,"Noriko Hara, Carol Choksy",
City of Bloomington_2025,City of Bloomington,Bloomington,Indiana,United States,2025,2025-04-01,2025-04-30,Places & Spaces: Mapping Science,Aubrey Seader,
Arts Plaza_2025,Arts Plaza,Bloomington,Indiana,United States,2025,2025-04-03,2025-04-03,First Thursdays Festival,Arts and Humanities Council,
COSMO_2025,COSMO,,,Germany,2025,2025-05-18,2025-08-08,Places & Spaces: Mapping Science,Jörg Neumann,
SBHD_2025,SBHD,,,Germany,2025,2025-06-16,2025-06-18,Systems Biology of Human Disease,Franziska Gudrun Muller,
Semmelweis_2025,Semmelweis,,,Hungary,2025,2025-07-28,2025-08-08,Biomedical Data Science Summer School and Conference,Roland Molontay,
